ASSET - HOSTNAME,ASSET - IP_ADDRESS,VULNERABILITY - TITLE,VULNERABILITY - SEVERITY,VULNERABILITY - CVSS,VULNERABILITY - PUBLICATION_DATE
WORKSTATION-1,172.18.0.1,ESXi 6.0 / 6.5 / 6.7 Out-of-Bounds Read Vulnerability (VMSA-2018-0026) (Remote Check),Alto,8.8,10/16/2018
WORKSTATION-3,172.18.0.3,ESXi 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2018-0027) (Remote Check),Alto,8.8,11/9/2018
WORKSTATION-1,172.18.0.1,ESXi 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2018-0027) (Remote Check),Alto,8.8,11/9/2018
WORKSTATION-2,172.18.0.2,ESXi 6.0 / 6.5 / 6.7 Multiple Vulnerabilities (VMSA-2018-0027) (Remote Check),Alto,8.8,11/9/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : python (CESA-2018:3041),Alto,7.5,6/18/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : openssl (CESA-2018:3221),Alto,7.5,8/28/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : libmspack (CESA-2018:3327),Alto,8.8,7/28/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:3083),Alto,7.8,5/2/2016
WORKSTATION-4,172.18.0.4,CentOS 7 : fuse (CESA-2018:3324),Alto,7.8,7/24/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : binutils (CESA-2018:3032),Alto,7.8,2/18/2018
WORKSTATION-8,172.18.0.8,KB4343887: Windows 10 Version 1607 and Windows Server 2016 August 2018 Security Update (Foreshadow),Alto,8.8,8/14/2018
WORKSTATION-8,172.18.0.8,KB4056890: Windows 10 Version 1607 and Windows Server 2016 January 2018 Security Update (Meltdown)(Spectre),Alto,7.5,1/4/2018
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (January 2018 CPU),Alto,8.3,1/16/2018
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.34 Multiple Vulnerabilities,Alto,7.5,7/15/2018
WORKSTATION-1,172.18.0.1,"VMSA-2018-0026 : VMware ESXi, Workstation, and Fusion updates address an out-of-bounds read vulnerability",Alto,8.8,10/16/2018
WORKSTATION-3,172.18.0.3,"VMSA-2018-0026 : VMware ESXi, Workstation, and Fusion updates address an out-of-bounds read vulnerability",Alto,8.8,10/16/2018
WORKSTATION-2,172.18.0.2,"VMSA-2018-0026 : VMware ESXi, Workstation, and Fusion updates address an out-of-bounds read vulnerability",Alto,8.8,10/16/2018
WORKSTATION-1,172.18.0.1,"VMSA-2018-0018 : VMware Horizon View Agent, VMware ESXi, Workstation, and Fusion updates resolve multiple security issues",Alto,7.8,
WORKSTATION-2,172.18.0.2,"VMSA-2018-0018 : VMware Horizon View Agent, VMware ESXi, Workstation, and Fusion updates resolve multiple security issues",Alto,7.8,
WORKSTATION-3,172.18.0.3,"VMSA-2018-0018 : VMware Horizon View Agent, VMware ESXi, Workstation, and Fusion updates resolve multiple security issues",Alto,7.8,
WORKSTATION-1,172.18.0.1,ESXi 6.5 < Build 6765664 Heap Buffer Overflow (VMSA-2017-0021) (remote check),Alto,7.5,12/19/2017
WORKSTATION-3,172.18.0.3,ESXi 6.5 < Build 6765664 Heap Buffer Overflow (VMSA-2017-0021) (remote check),Alto,7.5,12/19/2017
WORKSTATION-2,172.18.0.2,ESXi 6.5 < Build 6765664 Heap Buffer Overflow (VMSA-2017-0021) (remote check),Alto,7.5,12/19/2017
WORKSTATION-1,172.18.0.1,ESXi 5.5 / 6.0 / 6.5 / Multiple Vulnerabilities (VMSA-2017-0021) (VMSA-2018-0002) (Spectre) (remote check),Alto,7.5,12/19/2017
WORKSTATION-3,172.18.0.3,ESXi 5.5 / 6.0 / 6.5 / Multiple Vulnerabilities (VMSA-2017-0021) (VMSA-2018-0002) (Spectre) (remote check),Alto,7.5,12/19/2017
WORKSTATION-2,172.18.0.2,ESXi 5.5 / 6.0 / 6.5 / Multiple Vulnerabilities (VMSA-2017-0021) (VMSA-2018-0002) (Spectre) (remote check),Alto,7.5,12/19/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : yum-utils (CESA-2018:2285),Alto,8.1,8/1/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : tomcat (CESA-2018:2921),Alto,7.5,8/2/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : python (CESA-2018:2123),Alto,7.5,9/1/2016
WORKSTATION-4,172.18.0.4,CentOS 7 : postgresql (CESA-2018:2557),Alto,7.5,8/9/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : patch (CESA-2018:1200),Alto,7.8,4/6/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : ntp (CESA-2018:0855),Alto,7.8,3/27/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : mariadb (CESA-2018:2439),Alto,7.7,8/8/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:2748),Alto,7.8,9/25/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:2384) (Foreshadow),Alto,7.8,1/12/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:1965) (Spectre),Alto,7,7/24/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:1318),Alto,7.8,11/24/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : kernel (CESA-2018:0395),Alto,7.8,10/11/2017
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2018:1191),Alto,8.3,4/19/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : gnupg2 (CESA-2018:2181),Alto,7.5,6/8/2018
WORKSTATION-4,172.18.0.4,CentOS 7 : git (CESA-2018:1957),Alto,7.8,5/30/2018
WORKSTATION-1,172.18.0.1,"VMSA-2017-0021 : VMware ESXi, vCenter Server Appliance, Workstation and Fusion updates address multiple security vulnerabilities",Alto,7.8,
WORKSTATION-2,172.18.0.2,"VMSA-2017-0021 : VMware ESXi, vCenter Server Appliance, Workstation and Fusion updates address multiple security vulnerabilities",Alto,7.8,
WORKSTATION-3,172.18.0.3,"VMSA-2017-0021 : VMware ESXi, vCenter Server Appliance, Workstation and Fusion updates address multiple security vulnerabilities",Alto,7.8,
WORKSTATION-8,172.18.0.8,KB4074590: Windows 10 Version 1607 and Windows Server 2016 February 2018 Security Update (Meltdown)(Spectre),Alto,7.5,2/13/2018
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (April 2018 CPU),Alto,7.4,4/17/2018
WORKSTATION-6,172.18.0.6,Windows Defender Antimalware/Antivirus Signature Definition Check,Alto,,
WORKSTATION-2,172.18.0.2,ESXi 6.5 < Build 5969300 Multiple Vulnerabilities (VMSA-2017-0015) (remote check),Alto,8.8,9/14/2017
WORKSTATION-1,172.18.0.1,ESXi 6.5 < Build 5969300 Multiple Vulnerabilities (VMSA-2017-0015) (remote check),Alto,8.8,9/14/2017
WORKSTATION-3,172.18.0.3,ESXi 6.5 < Build 5969300 Multiple Vulnerabilities (VMSA-2017-0015) (remote check),Alto,8.8,9/14/2017
WORKSTATION-9,172.18.0.9,Apache 2.4.x < 2.4.28 HTTP Vulnerability (OptionsBleed),Alto,7.5,9/18/2017
WORKSTATION-3,172.18.0.3,"VMSA-2017-0006 : VMware ESXi, Workstation and Fusion updates address critical and moderate security issues",Alto,8.8,
WORKSTATION-1,172.18.0.1,"VMSA-2017-0015 : VMware ESXi, vCenter Server, Fusion and Workstation updates resolve multiple security vulnerabilities",Alto,8.8,
WORKSTATION-2,172.18.0.2,"VMSA-2017-0015 : VMware ESXi, vCenter Server, Fusion and Workstation updates resolve multiple security vulnerabilities",Alto,8.8,
WORKSTATION-3,172.18.0.3,"VMSA-2017-0015 : VMware ESXi, vCenter Server, Fusion and Workstation updates resolve multiple security vulnerabilities",Alto,8.8,
WORKSTATION-3,172.18.0.3,ESXi 6.5 < Build 5224529 Multiple Vulnerabilities (VMSA-2017-0006) (remote check),Alto,8.8,3/17/2017
SERVER-3,172.20.0.3,Oracle Java SE Multiple Vulnerabilities (April 2017 CPU),Alto,8.3,4/18/2017
WORKSTATION-7,172.18.0.7,Microsoft Windows Unquoted Service Path Enumeration,Alto,7.8,9/15/2012
WORKSTATION-8,172.18.0.8,Microsoft Windows Unquoted Service Path Enumeration,Alto,7.8,9/15/2012
SERVER-1,172.20.0.1,Microsoft Windows Unquoted Service Path Enumeration,Alto,7.8,9/15/2012
SERVER-4,172.20.0.4,Microsoft Windows Update Reboot Required,Alto,7.2,
SERVER-1,172.20.0.1,Microsoft Windows Update Reboot Required,Alto,7.2,
WORKSTATION-12,172.18.0.12,Microsoft Windows SMB Shares Unprivileged Access,Alto,7.5,7/14/1999
SERVER-5,172.20.0.5,Microsoft Windows SMB Shares Unprivileged Access,Alto,7.5,7/14/1999
WORKSTATION-4,172.18.0.4,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
SERVER-7,172.20.0.7,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
SERVER-8,172.20.0.8,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
SERVER-2,172.20.0.2,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
SERVER-4,172.20.0.4,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
SERVER-1,172.20.0.1,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
WORKSTATION-5,172.18.0.5,SSL Version 2 and 3 Protocol Detection,Alto,7.5,
SERVER-4,172.20.0.4,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
SERVER-2,172.20.0.2,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
WORKSTATION-5,172.18.0.5,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
SERVER-1,172.20.0.1,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
SERVER-9,172.20.0.9,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
SERVER-8,172.20.0.8,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
WORKSTATION-14,172.18.0.14,SSL Certificate Signed Using Weak Hashing Algorithm,Alto,7.5,8/18/2004
WORKSTATION-19,172.18.0.19,SNMP Agent Default Community Name (public),Alto,7.5,11/17/1998
SERVER-4,172.20.0.4,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-14,172.18.0.14,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-1,172.20.0.1,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-16,172.18.0.16,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-10,172.20.0.10,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-7,172.18.0.7,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-2,172.20.0.2,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-9,172.20.0.9,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-5,172.18.0.5,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-8,172.20.0.8,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-8,172.18.0.8,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-5,172.20.0.5,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-6,172.18.0.6,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-4,172.18.0.4,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-3,172.20.0.3,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
SERVER-6,172.20.0.6,SSL Medium Strength Cipher Suites Supported (SWEET32),Alto,7.5,8/24/2016
WORKSTATION-2,172.18.0.2,VMSA-2015-0007 : VMware vCenter and ESXi updates address critical security issues,Alto,7.5,
WORKSTATION-1,172.18.0.1,VMSA-2015-0007 : VMware vCenter and ESXi updates address critical security issues,Alto,7.5,
WORKSTATION-3,172.18.0.3,VMSA-2015-0007 : VMware vCenter and ESXi updates address critical security issues,Alto,7.5,
WORKSTATION-4,172.18.0.4,CentOS 7 : systemd (CESA-2019:0201),Baixo,3.3,1/28/2019
WORKSTATION-5,172.18.0.5,Oracle Java SE 1.7.x < 1.7.0_211 / 1.8.x < 1.8.0_201 / 1.11.x < 1.11.0_2 Multiple Vulnerabilities (January 2019 CPU),Baixo,3.7,1/15/2019
SERVER-2,172.20.0.2,Oracle Java SE 1.7.x < 1.7.0_211 / 1.8.x < 1.8.0_201 / 1.11.x < 1.11.0_2 Multiple Vulnerabilities (January 2019 CPU),Baixo,3.7,1/15/2019
WORKSTATION-4,172.18.0.4,CentOS 7 : java-1.8.0-openjdk (CESA-2018:2242),Baixo,3.7,7/18/2018
WORKSTATION-19,172.18.0.19,SSH Weak MAC Algorithms Enabled,Baixo,2.6,
WORKSTATION-5,172.18.0.5,SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam),Baixo,3.7,5/20/2015
SERVER-4,172.20.0.4,SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam),Baixo,3.7,5/20/2015
SERVER-2,172.20.0.2,SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam),Baixo,3.7,5/20/2015
WORKSTATION-10,172.18.0.10,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-4,172.18.0.4,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-20,172.18.0.20,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-21,172.18.0.21,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-3,172.18.0.3,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-1,172.18.0.1,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-2,172.18.0.2,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
SERVER-7,172.20.0.7,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
WORKSTATION-19,172.18.0.19,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
SERVER-11,172.20.0.11,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
SERVER-12,172.20.0.12,SSH Server CBC Mode Ciphers Enabled,Baixo,2.6,11/24/2008
SERVER-2,172.20.0.2,Transport Layer Security (TLS) Protocol CRIME Vulnerability,Baixo,2.6,9/15/2012
SERVER-1,172.20.0.1,Terminal Services Encryption Level is not FIPS-140 Compliant,Baixo,2.6,
WORKSTATION-12,172.18.0.12,Terminal Services Encryption Level is not FIPS-140 Compliant,Baixo,2.6,
WORKSTATION-9,172.18.0.9,Web Server HTTP Header Internal IP Disclosure,Baixo,3.1,7/13/2000
SERVER-8,172.20.0.8,SSL Certificate Chain Contains RSA Keys Less Than 2048 bits,Baixo,,
SERVER-2,172.20.0.2,SSL Certificate Chain Contains RSA Keys Less Than 2048 bits,Baixo,,
